Config: {"model": "baseline", "data_path": "data/processed/augmented_dataset.pkl", "output_dir": "results/baseline_aug_seed1", "seed": 1, "batch_size": 64, "epochs": 30, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.001, "weight_decay": 1e-05}, "scheduler": {"factor": 0.5, "patience": 4}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 64, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.0}}
Device: cuda
Model: CrystalTransformer | params=0.198M
Train/Val/Test sizes: 25538/3192/3193
Target stats: mean=2.6065 std=3.1894
Epoch 01/30 | train MAE 2.1875 | val MAE 1.8841 RMSE 2.5158 | lr 1.00e-03 | 11.5s *
Epoch 02/30 | train MAE 1.8882 | val MAE 1.9421 RMSE 2.5616 | lr 1.00e-03 | 10.8s 
Epoch 03/30 | train MAE 1.8206 | val MAE 1.7579 RMSE 2.3650 | lr 1.00e-03 | 10.8s *
Epoch 04/30 | train MAE 1.6879 | val MAE 1.7407 RMSE 2.3154 | lr 1.00e-03 | 10.9s *
Epoch 05/30 | train MAE 1.6267 | val MAE 1.6115 RMSE 2.1543 | lr 1.00e-03 | 10.9s *
Epoch 06/30 | train MAE 1.4610 | val MAE 1.3290 RMSE 1.8262 | lr 1.00e-03 | 11.0s *
Epoch 07/30 | train MAE 1.2848 | val MAE 1.1480 RMSE 1.6543 | lr 1.00e-03 | 10.8s *
Epoch 08/30 | train MAE 1.1029 | val MAE 1.1372 RMSE 1.6254 | lr 1.00e-03 | 10.8s *
Epoch 09/30 | train MAE 1.0247 | val MAE 0.9521 RMSE 1.4019 | lr 1.00e-03 | 10.9s *
Epoch 10/30 | train MAE 0.9513 | val MAE 1.0032 RMSE 1.4770 | lr 1.00e-03 | 10.8s 
Epoch 11/30 | train MAE 0.9011 | val MAE 1.0045 RMSE 1.5463 | lr 1.00e-03 | 10.8s 
Epoch 12/30 | train MAE 0.8798 | val MAE 0.9345 RMSE 1.3702 | lr 1.00e-03 | 11.1s *
Epoch 13/30 | train MAE 0.8454 | val MAE 0.8553 RMSE 1.2956 | lr 1.00e-03 | 10.9s *
Epoch 14/30 | train MAE 0.8184 | val MAE 0.8621 RMSE 1.2767 | lr 1.00e-03 | 10.8s 
Epoch 15/30 | train MAE 0.7997 | val MAE 0.8549 RMSE 1.2398 | lr 1.00e-03 | 10.9s *
Epoch 16/30 | train MAE 0.7980 | val MAE 0.7607 RMSE 1.1607 | lr 1.00e-03 | 10.8s *
Epoch 17/30 | train MAE 0.7584 | val MAE 0.9777 RMSE 1.3557 | lr 1.00e-03 | 10.8s 
Epoch 18/30 | train MAE 0.7549 | val MAE 0.6945 RMSE 1.0500 | lr 1.00e-03 | 11.0s *
Epoch 19/30 | train MAE 0.7244 | val MAE 0.7545 RMSE 1.0918 | lr 1.00e-03 | 11.0s 
Epoch 20/30 | train MAE 0.6763 | val MAE 0.7707 RMSE 1.1411 | lr 1.00e-03 | 10.9s 
Epoch 21/30 | train MAE 0.7129 | val MAE 0.7222 RMSE 1.0799 | lr 1.00e-03 | 10.9s 
Epoch 22/30 | train MAE 0.7024 | val MAE 0.7490 RMSE 1.1196 | lr 1.00e-03 | 10.8s 
Epoch 23/30 | train MAE 0.6842 | val MAE 0.6633 RMSE 0.9881 | lr 1.00e-03 | 10.8s *
Epoch 24/30 | train MAE 0.6158 | val MAE 0.6360 RMSE 0.9726 | lr 1.00e-03 | 10.8s *
Epoch 25/30 | train MAE 0.6048 | val MAE 0.6804 RMSE 0.9902 | lr 1.00e-03 | 11.0s 
Epoch 26/30 | train MAE 0.6078 | val MAE 0.6390 RMSE 0.9370 | lr 1.00e-03 | 10.9s 
Epoch 27/30 | train MAE 0.5971 | val MAE 0.6545 RMSE 0.9995 | lr 1.00e-03 | 10.9s 
Epoch 28/30 | train MAE 0.5712 | val MAE 0.8255 RMSE 1.1190 | lr 1.00e-03 | 10.9s 
Epoch 29/30 | train MAE 0.6346 | val MAE 0.7300 RMSE 1.1143 | lr 5.00e-04 | 10.9s 
Epoch 30/30 | train MAE 0.5145 | val MAE 0.5344 RMSE 0.8144 | lr 5.00e-04 | 10.9s *

[Final] Test MAE 0.5450 | RMSE 0.8611
