model,split_id,seed,validation_mae_eV,test_mae_eV,git_commit,config_sha256,manifest_sha256,prediction_sha256
schnet_add,host_cv5_f4,344,3.3991451582881047,7.137826013775834,6c401374baa9ac22b5fa4353d467366ac7cc222f,7c70d348d6bee872a696adaf4881b1c2d5da1edd8c56167c39d63f92da4d702c,7a35ff53f470ba1ff35a3717bf36f7e448e13c90318ddf74fdef9a09c860ec12,8a1097d2f017fef9c0dc9a9f3e2c639e3832bab0fbb864c3c14ff98edc1f5290
schnet_mean,host_cv5_f0,342,2.251047566717932,2.0894831641104386,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,10f1e24fd13cd4b54fb47fe0c706a3755b250f52a1ba1f7a6d0e9611b70e4162,4569b011959d45d23dec6b71ebe017459e057c5ce66984fbdab5cab5fe8de8b3,86853e093d23d64adeeefc66e32712c9d69a350d8c2a7a54f92c0a37c5f1d08d
schnet_mean,host_cv5_f0,343,1.9978084516255703,3.315726930624057,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,9f1e8b5e40f6c3bfe68e660a3f35a15db87dcee4c6e92576b69f4828cb8b9746,e4781a40a8105f47c156281c9037f226d0c2d8d034749d3521845451000b52d8,4b03fb4e1f63e881dc1c72427908c23b52ed0a0f30223a060648882472d39f4f
schnet_mean,host_cv5_f0,344,2.037303030436776,1.888448359544637,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,73070558cb45732edaf5a3e03f01df726f6c358547986959c2801e89504386d0,8f3bd3c16c2858be09842f2338cc6a2c9b63761586cfc0c76c2e2c03d285521a,0e4bd6da00cd42a068ade6fbfe3474850c41d7ed90917a758a91f5faf8652975
schnet_mean,host_cv5_f1,342,2.465090809846402,2.1009327782567633,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,d72d485fb8c80013b8991088be5d5a7e5b852ff4eb0ff00e9c0f147646ea6b59,146bcdcfd61bcb7109e0c866d72913813ae1b9f2470200320070352d4677d980,2a237ca7136146bd257231fc5508161067c58e2df9cd6ab6830d8eb938b4305e
schnet_mean,host_cv5_f1,343,2.3386358596607986,2.021084933425343,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,857d18e8a7c00c1c78fe01891f17525a3f2c14b05e0efde899fca2dd59f77a42,2c02d0bc241bd4e9bc94f4f8070bdf9e9fb4cb6e4d2e0323aa60abfad3f0330b,a2c94fa7a0fcfd5f99c8d8b31efceed96db465c41ab7e3ba48c1a818921a9695
schnet_mean,host_cv5_f1,344,2.3866095794171445,2.1392057887869944,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,fe95a86276b4ab1293260ccb12c22e78eb4564df459d692f92f06789dc510e92,cf8524c06abd1728ec6bf11659c8335166e556fad9d94c3011925a2409406fa4,481ee929bc65cd1b5802796a25b0c8fa27a7318608e459028778a53be65e8ae3
schnet_mean,host_cv5_f2,342,2.5405035593244034,2.6467396675750137,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,0c73be3233e192fbbd9d74290db43d7c083beefabc1d1ed9f82603ffd7ccd127,a0f5aeeadf5d5e7360d4276b54a78e0385f86c21b7c1b2cb9032e4bc482c1e68,1c04947002bc953e90059fe07b6063f97bc346a0a4717ca347d782773aa2110f
schnet_mean,host_cv5_f2,343,2.467285159220996,2.5131961429089413,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,42f998ece6b560d61dd924750838d32c33458f0a28b8fb62e8496522ea6a59c9,9e7d4145dba4311955e80d6fd34bca1b311c0fb140fb9c4d8fb4ad8b31c8c9df,500dc2ab74f2fd31e55dc93f7303a49fc4e3692bc1155a6c6a3ea50e22ed3999
schnet_mean,host_cv5_f2,344,2.443205319450943,2.4761744459092796,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,0b2ba6fd8f3adf971c1a59d86d68e284f56bd29b4854357652366b55fe0be229,d536efe6760ac9e2222177ada83ba83db8896c6ca3f95d8e279a2dc05932a75f,b76c6b6972fb909ee0ba2a41567560c0c821b52c659f21c261f7a34ae263aa3c
schnet_mean,host_cv5_f3,342,2.4357391836962856,2.5435103812039,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,6dd6666a4fe26a191c04c3268d875ce8c4fafa0ba490687cca85f4744e462c6f,cbd57d25fe261e5696e4af7a06ef8c8fcb4ada58cf3f179d5da1858a83f69a40,fa9c0dabf98efc88abf8d0a1d273a524f9aae42231cc053a5615f2e11cf654cd
schnet_mean,host_cv5_f3,343,2.3201427878261587,2.477593332631391,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,cf16e5243a22b81abd23ea779473c01b47e72007d271a02dba334a4c92611123,606a39bd3873265d03fcb5d381c9bc2cd625173e1925b6d5a1194b398c78c1a3,e39e99eb186be2cf63911a69217a2a8460f09ebde3f292af8e331117f524e048
schnet_mean,host_cv5_f3,344,2.230671019977591,2.4238721179229414,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,c26620b47c984f0488a020d7f2ed354df54c240dc125baa630db0071f22e7720,9f706e2165c1345e29bb4c60e868a0d3231d357122e2585f51f297626d3044b4,538a79ad27a46c3f80450bc15b2bc31b8074fa131ff97d8baec2fdccee87c23c
schnet_mean,host_cv5_f4,342,1.743896044230478,4.075437260520099,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,d9c964320c7947b06d1f1109ee46cdce0dca061e14877b6087a85b3e9a78d6aa,fbf0ab12693fd238e9f40da890d2fba132d72984fa3c6d820acdea04945356ac,c2f089a49cc5b298cd6831d52a983744060e4ce5b3f90ee7f83d663d815edb5b
schnet_mean,host_cv5_f4,343,1.692622168592232,6.503798961167628,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,0ce76f8308db888de8af961d5dc3ce40dcca791e5e592c188a4eaab2c66b896b,7c6e686b970ee0bbd38f0a221314e6d3746e39b16e7e9055ab5574ba480682e0,2ec28f1d82f82000248cba7fdde43019cf965aed1bae55c46ca7e2ed735e122a
schnet_mean,host_cv5_f4,344,2.0218277443610075,2.2622559423033413,91cb8aca9f638e0ad46d78691e96b75b7b8d91c8,7b1afeb0176abdb7c34e1945dcce0ee6c000c68a41ea03861371fe53dde0494a,016b63ae4615898449474bd3a9104073501331f8bc92d5bc32a4382801e465c5,a5213019af8de5e3cf87243509d0e41f38940d60c5f0a0e92794c278f36395b4
