split_id,n,add_mae_eV,mean_mae_eV,mean_minus_add_mae_eV,mean_better
host_cv5_f0,2023,3.88237583046421,2.178553167044351,-1.7038226634198588,True
host_cv5_f1,2019,8.19943128140695,2.0676086076265277,-6.131822673780422,True
host_cv5_f2,2069,5.483948930836702,2.5304386687965157,-2.953510262040186,True
host_cv5_f3,2057,5.466300348518449,2.468025222534089,-2.9982751259843603,True
host_cv5_f4,2056,10.474106178247967,3.501435518511183,-6.972670659736783,True
