coverage,mae_risk_eV,oracle_mae_risk_eV
0.0009775171065493646,0.05121980533752213,0.00038614245117185586
0.0019550342130987292,0.050145940515756715,0.0005273217504769834
0.002932551319648094,0.08959406541951524,0.0006410567325786746
0.0039100684261974585,0.09670624100785008,0.0007197795577961186
0.004887585532746823,0.08812648407739884,0.0008237189644206388
0.005865102639296188,0.08024053751648197,0.0009441885197502877
0.006842619745845552,0.09155123579302517,0.001197989055219185
0.007820136852394917,0.09153531683250626,0.0013888133649838062
0.008797653958944282,0.08747781508118023,0.0016401398837282883
0.009775171065493646,0.08089477123541808,0.0018684746921703494
0.010752688172043012,0.07454573165860659,0.0020862463924623616
0.011730205278592375,0.07039645064875781,0.0023058310792264925
0.01270772238514174,0.0891741149492533,0.002509527596643543
0.013685239491691105,0.08533360705052427,0.002693468301497825
0.01466275659824047,0.08754797412512699,0.002854730728451984
0.015640273704789834,0.08610191105309069,0.0029966040887048056
0.016617790811339198,0.08329425884392505,0.003136446220772828
0.017595307917888565,0.08128106049294653,0.003278266990865233
0.01857282502443793,0.07756051686048386,0.0034183142227652242
0.019550342130987292,0.07783920059723266,0.0035461095727232494
0.020527859237536656,0.0850152331410465,0.003670917068930471
0.021505376344086023,0.08268009863894539,0.0038018644310262232
0.022482893450635387,0.08386305401470821,0.0039341703409866155
0.02346041055718475,0.08103421919642297,0.004060729093766274
0.024437927663734114,0.0778424294922028,0.004189086105064985
0.02541544477028348,0.07666010067239859,0.004315718915602619
0.026392961876832845,0.07783369144251205,0.0044346189348547236
0.02737047898338221,0.07648897815427771,0.00455363943113901
0.028347996089931573,0.07868966486818751,0.004672884179969126
0.02932551319648094,0.07774175197776483,0.004787578375201109
0.030303030303030304,0.1295154743778172,0.004895187541175681
0.03128054740957967,0.12594401664302082,0.005001716015677652
0.03225806451612903,0.12401814913240447,0.005108938309931174
0.033235581622678395,0.12209460354955312,0.005222572400883947
0.03421309872922776,0.12137618686962912,0.005346090148188212
0.03519061583577713,0.1288457675020516,0.005475030973861279
0.03616813294232649,0.12611441807670648,0.005607965334103951
0.03714565004887586,0.12291986135452032,0.005739090758894794
0.03812316715542522,0.12195436965611146,0.005868683549870889
0.039100684261974585,0.11996187316132864,0.005998349858386407
0.04007820136852395,0.11727958259330645,0.006124617228032299
0.04105571847507331,0.11455208261568811,0.0062467989892536265
0.042033235581622676,0.11229863984394613,0.006365010180006977
0.043010752688172046,0.110591488411038,0.0064780194443539085
0.04398826979472141,0.10861951043919334,0.0065968683941330635
0.044965786901270774,0.10712121994125907,0.006724957801655413
0.04594330400782014,0.10612974615096593,0.006852756942537213
0.0469208211143695,0.10530418553059757,0.00697818624648625
0.047898338220918865,0.10447078309671759,0.007100509321583237
0.04887585532746823,0.10360803501186451,0.007221665950837743
0.04985337243401759,0.10167363992938967,0.0073423583334964555
0.05083088954056696,0.1013986098911218,0.007458886947345951
0.05180840664711633,0.10009409546486818,0.0075736909449527
