evidence_tier,evidence_label,feature,block,defecttype,q10,q90,predicted_low_error_eV,predicted_high_error_eV,contrast_eV,percent_contrast,ci_low_eV,ci_high_eV,bootstrap_p,fold_signs,same_direction_folds,xf_le_2_same_direction,nuisance_control_same_direction,bh_q,paper_effect_gate
canonical,CANONICAL — REPAIRED G2 OOF,cn_5A,geometry,adsorbate,7.0,19.0,0.16627800525716746,0.12862558217744158,-0.03765242307972588,-22.644259546830753,-0.07712364616484436,0.018203637608704398,0.22288855572213892,-1|-1|-1|-1|1,4,1,0,0.3933327453920099,0
canonical,CANONICAL — REPAIRED G2 OOF,e_module_effective_mean_distance_A,geometry,adsorbate,3.617395544052124,4.327175054550171,0.16381836166575953,0.14788464377207433,-0.015933717893685195,-9.726454184784817,-0.054502716094585235,0.016968627202673243,0.3188405797101449,-1|-1|1|-1|-1,4,1,0,0.49325337331334324,0
canonical,CANONICAL — REPAIRED G2 OOF,e_module_effective_max_distance_A,geometry,adsorbate,4.305286598205567,4.972760581970215,0.15370601971480335,0.1573283615144716,0.0036223417996682494,2.356668793056635,-0.01651974360883792,0.021801932738984856,0.7536231884057971,-1|-1|1|1|1,3,1,0,0.8706757732244989,0
canonical,CANONICAL — REPAIRED G2 OOF,smooth_cn_5A,geometry,adsorbate,0.5290389016455826,3.1992388152893554,0.11203310968429848,0.2628098239436782,0.15077671425937972,134.58228079561303,0.06423247847352165,0.23209192765215791,0.0009995002498750624,1|1|1|1|1,5,1,1,0.0074962518740629685,1
canonical,CANONICAL — REPAIRED G2 OOF,neighbor_distance_std_A,geometry,adsorbate,0.5334287394386199,0.9328295929301114,0.16566321724314576,0.14650119162134734,-0.019162025621798418,-11.566855902402342,-0.04476781587992028,0.010641112593192503,0.2028985507246377,-1|-1|-1|-1|-1,5,1,0,0.3804347826086957,0
canonical,CANONICAL — REPAIRED G2 OOF,postrelaxation_min_clearance_A,geometry,adsorbate,-0.388698101869352,0.6272431797300929,0.17093449789673565,0.12901383939780386,-0.041920658498931784,-24.524399120566493,-0.06480552927505484,-0.016697161311419344,0.001999000499750125,-1|-1|-1|-1|-1,5,1,0,0.009995002498750625,0
canonical,CANONICAL — REPAIRED G2 OOF,depth_boundary_distance,geometry,adsorbate,0.4632389729814348,2.165423357759682,0.15543818012652005,0.15717379200013754,0.001735611873617482,1.116593022515297,-0.00896272148823727,0.012805438056805648,0.7616191904047976,-1|1|-1|1|-1,2,1,0,0.8706757732244989,0
canonical,CANONICAL — REPAIRED G2 OOF,abs_log_extension_factor,geometry,adsorbate,0.006281230326384756,0.23122018796279906,0.14563144462362865,0.1994521107962825,0.05382066617265385,36.95676185301088,0.043433612141302244,0.06770485666049242,0.0009995002498750624,1|1|1|1|1,5,1,0,0.0074962518740629685,0
canonical,CANONICAL — REPAIRED G2 OOF,e_module_effective_abs_electronegativity_contrast,chemistry,adsorbate,0.023689842224121117,0.34916580820083626,0.1544914464016206,0.15926709701647834,0.0047756506148577405,3.0912071354700217,-0.06901186547606177,0.09084414918626857,0.9065467266366817,1|-1|-1|1|-1,2,1,0,0.9065467266366817,0
canonical,CANONICAL — REPAIRED G2 OOF,local_abs_electronegativity_contrast,chemistry,adsorbate,0.09652380952380943,1.3772000000000004,0.14330221748933947,0.18049995991484052,0.03719774242550106,25.957548373784423,-0.03870727201446475,0.1211014065033252,0.36081959020489757,-1|1|1|1|1,4,1,0,0.515456557435568,0
