evidence_tier,evidence_label,sample_index,raw_row_id,host,dopant,defecttype,common_pair_fold_stratum,host_oof_fold,impurity_oof_fold,host_identity_novelty,impurity_identity_novelty,host_identity_novelty_robust_z,impurity_identity_novelty_robust_z,novelty_gap,host_minus_impurity_absolute_error_eV
canonical,CANONICAL — REPAIRED G2 OOF,0,5,SnS2,Cl,interstitial,2,0,1,1.9143929162778401,1.366370081682418,0.006638916851063596,1.2630445733593785,-1.2564056565083148,-0.6495953400929766
canonical,CANONICAL — REPAIRED G2 OOF,1,7,WS2,H,interstitial,2,4,0,0.00012001454897472285,2.1128262355237384,-0.9061094473773613,3.166515736489311,-4.0726251838666725,-1.1151509185381356
canonical,CANONICAL — REPAIRED G2 OOF,2,8,MoS2,Tc,adsorbate,4,2,4,1.3186148569594756,0.6145173754081922,-0.277435234015773,-0.6541878561001205,0.3767526220843475,0.06399518919309166
canonical,CANONICAL — REPAIRED G2 OOF,4,13,WTe2,Be,adsorbate,2,1,2,1.7400210317107727,2.139946854760519,-0.07650369686000975,3.235673605143459,-3.312177302003469,0.8591507275899253
canonical,CANONICAL — REPAIRED G2 OOF,5,14,MoSe2,Ru,adsorbate,3,4,1,0.00010307749485036766,0.5893441888992103,-0.906117523168662,-0.7183797505032371,-0.1877377726654249,-0.30900225254998537
canonical,CANONICAL — REPAIRED G2 OOF,6,15,WTe2,Lu,interstitial,4,1,3,1.7400210317107727,0.9876386966939341,-0.07650369686000975,0.29727549745584236,-0.3737791943158521,1.2090820510430942
canonical,CANONICAL — REPAIRED G2 OOF,7,16,MoS2,Zn,adsorbate,1,2,1,1.3186148569594756,0.8101900093698571,-0.277435234015773,-0.15522055005941807,-0.12221468395635496,-1.1251171868799061
canonical,CANONICAL — REPAIRED G2 OOF,8,17,MoTe2,Co,adsorbate,4,2,4,1.666074613677133,0.871060558416666,-0.11176223917119157,-5.662161136034022e-16,-0.111762239171191,-1.424822803672884
canonical,CANONICAL — REPAIRED G2 OOF,9,19,WTe2,Hg,adsorbate,4,1,1,1.7400210317107727,0.8778215150733724,-0.07650369686000975,0.01724051166968781,-0.09374420852969756,0.7005858521833203
canonical,CANONICAL — REPAIRED G2 OOF,10,20,SnS2,Ru,interstitial,4,0,1,1.9143929162778401,0.5893441888992103,0.006638916851063596,-0.7183797505032371,0.7250186673543006,-0.04914553055949056
canonical,CANONICAL — REPAIRED G2 OOF,11,21,MoTe2,As,adsorbate,3,2,4,1.666074613677133,0.807382760865409,-0.11176223917119157,-0.16237906372222102,0.05061682455102945,-0.0677879651387534
canonical,CANONICAL — REPAIRED G2 OOF,12,24,MoSe2,I,adsorbate,2,4,2,0.00010307749485036766,1.2451740975896939,-0.906117523168662,0.9539935197636779,-1.8601110429323398,-0.024021903673807854
