model,family,regime,split_id,seed,manifest_path,manifest_sha256,prediction_path,git_commit,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
descriptor:lightgbm,lightgbm,dopant_cv,dopant_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/metrics.json,a46792e48c0acd71c018202d7a7420142897ec878164ee344de3d1b6b8727ef9,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/predictions.npz,,1.0209124201563213,1.494470672095552,0.33130807024879366,0.8699818945099874,0.7858467639885196,1.208333960707813,1.6868521600130464,0.1250191681100638,0.7981934153393774,0.71535474304747
descriptor:mean,mean,dopant_cv,dopant_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/metrics.json,a46792e48c0acd71c018202d7a7420142897ec878164ee344de3d1b6b8727ef9,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/predictions.npz,,2.288309558432412,3.246835628927655,0.33580033303710705,,-0.010812150763998218,2.3592214158626366,3.1726288051410894,-0.26272553618781813,,-0.006904853720406612
descriptor:random_forest,random_forest,dopant_cv,dopant_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/metrics.json,a46792e48c0acd71c018202d7a7420142897ec878164ee344de3d1b6b8727ef9,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/predictions.npz,,1.255986947351203,1.7347731879612527,0.5116513013308692,0.8506296943612324,0.7114405840741606,1.311411680387656,1.9226856422021734,0.22365912612573782,0.7423447514136621,0.6302003679076705
descriptor:ridge,ridge,dopant_cv,dopant_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/metrics.json,a46792e48c0acd71c018202d7a7420142897ec878164ee344de3d1b6b8727ef9,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/predictions.npz,,1.623524746111375,2.329364001461554,0.015540497625616918,0.6500835688601108,0.4797350522457877,1.8000612712961344,2.434006576872375,-0.2957772513612526,0.600215539691768,0.4073566669573655
descriptor:hist_gradient_boosting,hist_gradient_boosting,dopant_cv,dopant_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/metrics.json,63f216d30919e72ca9107496850079c91abb3ad36a3991bb1e22a1b67c6f6555,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/predictions.npz,,1.666002331712335,2.234985667776862,1.1627311706623231,0.6851523366052257,0.49917654876164086,1.337539667994027,1.7857304165900358,0.7968650201186676,0.8436834417257212,0.6942393169007988
descriptor:lightgbm,lightgbm,dopant_cv,dopant_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/metrics.json,63f216d30919e72ca9107496850079c91abb3ad36a3991bb1e22a1b67c6f6555,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/predictions.npz,,1.69630635926822,2.2229860751387855,1.1991776634593605,0.6970018461042842,0.5045399339206122,1.3982057736997422,1.8102253878060763,0.7987364566406391,0.8280176791535895,0.6857935104098796
descriptor:mean,mean,dopant_cv,dopant_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/metrics.json,63f216d30919e72ca9107496850079c91abb3ad36a3991bb1e22a1b67c6f6555,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/predictions.npz,,2.409402063071582,3.243958933299913,0.7411974934901879,,-0.05508115718847373,2.3674060243856276,3.2828257138304666,0.5897159738215535,,-0.03334537696443296
descriptor:random_forest,random_forest,dopant_cv,dopant_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/metrics.json,63f216d30919e72ca9107496850079c91abb3ad36a3991bb1e22a1b67c6f6555,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/predictions.npz,,1.7457444934846245,2.3690701774588776,1.0955883225063971,0.6154187115020839,0.43728172043458624,1.5094631522022155,2.0227204183849983,0.8495135198936251,0.7778660552132888,0.6076970582644619
descriptor:ridge,ridge,dopant_cv,dopant_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/metrics.json,63f216d30919e72ca9107496850079c91abb3ad36a3991bb1e22a1b67c6f6555,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f2/predictions.npz,,1.9400847489827318,2.5907308364379236,0.8559276372350556,0.6429969241490748,0.32705470592003916,1.7825686839864747,2.475712283625705,0.3387914165347215,0.5968952388144416,0.41230744262712105
descriptor:hist_gradient_boosting,hist_gradient_boosting,dopant_cv,dopant_cv5_f3,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/metrics.json,17cbe3448412a38898ae95946caca2a1ad4655f2118fa887edff8c0091147011,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/predictions.npz,,1.19291049916552,1.704296730935806,-0.39551156336916876,0.7917474002889456,0.6698927684946918,1.483916428701482,2.0664294170001942,0.8182679729649754,0.6976069408246068,0.5718693472030589
