axis,group,n,mae_eV,rmse_eV,bias_eV
host,As2,231,0.33966579514598016,0.7297621534081383,-0.028091004001608837
host,Bi2I6,52,1.859805947430578,2.590635436839382,-0.06079580313058873
host,BiITe,54,1.6184117612917772,2.0311776339847034,-0.3175987256972117
host,C2H2,220,0.4880488089948423,0.9113383579998867,-0.12157220561833801
host,Cr2I6,324,0.44566183733891085,1.0268853081953295,-0.08784600593364855
host,Ge2,183,0.33939593537994733,0.5299258610294036,-0.042809514799179764
host,Ge2H2,219,0.7545421539281156,1.4872300171373707,0.16124878842300988
host,Hf2Te6,416,0.4332437337747572,0.687306929959921,-0.03522497386940417
host,HfS2,272,0.30658967513136764,0.6638562637911255,-0.09143696503791177
host,HfSe2,272,0.3195757249904389,0.7785322548279603,-0.04454157362998218
host,Mo2CO2,164,0.7532816489041162,1.3794140023187034,0.019597170023300026
host,MoS2,285,0.3370599025096535,0.7126461877793138,-0.03343349839764642
host,MoSSe,442,0.37744100449422474,0.9943301780471904,0.045925581710570804
host,MoSe2,291,0.3593370058161971,0.9059165914340123,-0.016229397862490107
host,MoTe2,259,0.32692628005996727,0.7354830453204259,-0.08348653766836574
host,Nb2CO2,186,0.449137889245352,0.8862694163196352,-0.11826721170516186
host,Nb4C3,204,0.9547039335070656,1.9370008208933138,-0.07177944064559195
host,NbS2,341,0.5801519618219755,1.2054175305573334,-0.1635973496645609
host,NbSe2,345,0.4330170111094382,0.7880021459584625,-0.007012248601266188
host,NiSe2,252,0.39860951620089463,0.7860594974567665,0.0007702105044763729
host,P4,179,0.40193939817143015,0.598277032397057,0.02163358439456573
host,PbI2,66,1.0710775852022103,1.4981486330611755,0.049903108884447024
host,Pd2Se4,161,0.45951018329518917,0.8383476487790746,-0.06116938512948401
host,PtS2,273,0.31381595574290533,0.6209275806396118,-0.054738643812619815
host,PtSe2,259,0.3370778771412121,0.5944827871216952,-0.06723018402589342
host,Re4S8,234,0.2660041764516067,0.4434878785913864,0.011187138334100611
host,Re4Se8,257,0.3174374294202358,0.6161903092260438,-0.043462220408315766
host,Si2,233,0.3457589299077613,0.523520428588181,-0.03070376921192782
host,Sn2,195,0.37959678223384574,0.5710391868205956,0.05700121193720604
host,SnS2,246,0.6630205503272917,1.2305447102161384,0.24140425041045438
host,SnSe2,191,0.41091442855972654,0.74137991904698,-0.05229126670113722
host,TaS2,213,0.41405447352200436,0.8029467994731021,0.031951825975110294
host,TaSe2,215,0.45150914378703255,1.1488014795511128,-0.03820142366446699
host,Ti2CO2,1,0.7790135202851847,0.7790135202851847,0.7790135202851847
host,TiO2,225,0.5984520505560211,1.1669365016382867,-0.09411106487335207
host,TiS2,231,0.4542582229636932,0.7602559630117863,-0.003830717385520232
host,V2CO2,199,0.5841281862491942,1.1022297366615175,0.11966210977897979
host,W2Se4,228,0.42925072572818224,0.9354980899771665,-0.09095469010114667
host,W2Te4,268,0.4186351054072191,0.7328239874367386,-0.050756538056475294
host,WS2,246,0.27087861795917423,0.7254243989588448,-0.10250776156340809
host,WSe2,287,0.3631046630740711,0.7710586385151368,-0.04446302001393204
host,WTe2,265,0.3894684370425495,0.9818248898171088,-0.11664958286997523
host,ZrS2,264,0.3156734025495221,0.7535406526331949,-0.10238621558258203
host,ZrSe2,276,0.31191910277559676,0.9808030045610809,-0.07236152246846274
dopant,Ag,165,0.30340242102462955,0.6179137996303379,-0.06761738010349219
dopant,Al,185,0.42357849070730613,0.9446549078603468,0.1264161974837612
dopant,As,164,0.33398718582317877,0.7524373209354773,-0.07722104941085035
dopant,Au,160,0.2961829817690369,0.5512300561703478,-0.05164995346168209
dopant,B,220,0.6266538013280457,1.0541453494914663,-0.061456425332154445
dopant,Ba,143,0.32446235951374547,0.6448960886366033,0.06776818009247078
