axis,group,n,mae_eV,rmse_eV,bias_eV
host,As2,231,0.35238072447402585,0.7593109685097812,-0.004935291023460481
host,Bi2I6,52,1.8511837555989408,2.5294416835552918,-0.05480811079281903
host,BiITe,54,1.6901727833158158,2.019879721680558,-0.4723053892527808
host,C2H2,220,0.5085637025967318,1.048902282443319,-0.10635089595647278
host,Cr2I6,324,0.43064030173646,1.004124797027183,-0.08802980016718263
host,Ge2,183,0.35809248774516667,0.5309871910383418,-0.03216533427202946
host,Ge2H2,219,0.7033445643537598,1.4324236808942865,0.178944581701151
host,Hf2Te6,416,0.4456933456753853,0.7137846128128975,-0.06415123463877138
host,HfS2,272,0.3155983404992536,0.6939903421121625,-0.07983846258778218
host,HfSe2,272,0.3033324697743969,0.7952736087946041,-0.05140463211989387
host,Mo2CO2,164,0.8232188539564773,1.467487674857496,0.11681327606592934
host,MoS2,285,0.3547103531138143,0.7016982944451939,-0.044288013674103566
host,MoSSe,442,0.3676979877079661,1.0188311115983273,0.04709733593699647
host,MoSe2,291,0.3934509246366811,0.8891006350276128,-0.023364083673798355
host,MoTe2,259,0.3455412495557861,0.8337687028517328,-0.09919485621667871
host,Nb2CO2,186,0.5135407038811778,0.9834015293909962,-0.11984203051114359
host,Nb4C3,204,1.0005684491155726,2.0131780477776497,-0.10188388670610918
host,NbS2,341,0.5842789168419231,1.162504351662593,-0.13304603286350652
host,NbSe2,345,0.4507755562794955,0.7848741091283999,0.0046919008522701405
host,NiSe2,252,0.4280478732727064,0.800089563058676,-0.010960062114074727
host,P4,179,0.40106955009789574,0.5889577575556347,-0.04133383589573657
host,PbI2,66,1.0988099046179267,1.5478608075272045,-0.002166118016289483
host,Pd2Se4,161,0.45041476908136185,0.8259370613660495,-0.07954235546767753
host,PtS2,273,0.32922669473931465,0.5537964592944428,-0.023226207836654255
host,PtSe2,259,0.30865867111199435,0.5357911846325951,-0.028386697726047263
host,Re4S8,234,0.2637038782982537,0.43281031754744176,0.008055064026927888
host,Re4Se8,257,0.31208142971338737,0.6297395959094281,-0.006281111102366242
host,Si2,233,0.3606450073473729,0.5513637992459878,-0.02194501861565627
host,Sn2,195,0.3717382261895133,0.5840446856076994,0.07233580099062902
host,SnS2,246,0.6027576538256303,1.0735169806562836,0.15142006992900117
host,SnSe2,191,0.37914344794825006,0.6795958757497951,-0.038163896750558125
host,TaS2,213,0.39677721860420617,0.7493655428434409,0.020386048357669193
host,TaSe2,215,0.47172882691363943,1.1913735116218882,-0.022666651789573437
host,Ti2CO2,1,1.180881386801298,1.180881386801298,1.180881386801298
host,TiO2,225,0.675263324674339,1.3797628165163873,-0.13831932127695723
host,TiS2,231,0.45290371670356017,0.8030597355880751,-0.035772555464204846
host,V2CO2,199,0.6058298134561331,1.1061494328576358,0.12404335069079901
host,W2Se4,228,0.4343767224839908,0.9473293359714897,-0.048104200944858656
host,W2Te4,268,0.48695994745040416,0.8837613717195738,-0.04237837618842259
host,WS2,246,0.3115879792285616,0.7033401482924758,-0.12797925746701247
host,WSe2,287,0.35221830250634356,0.7653632856472006,-0.03226325388478059
host,WTe2,265,0.3503405667140255,0.9016249306864804,-0.12498642605468029
host,ZrS2,264,0.3235911021380972,0.7682261811547304,-0.058974335302549724
host,ZrSe2,276,0.30555898247109015,0.9762341289276338,-0.0755946118636541
dopant,Ag,165,0.3048459617177787,0.6194304682642664,-0.03739652256995059
dopant,Al,185,0.4029229250156529,0.8831793722822644,0.06574635004690785
dopant,As,164,0.31553809396095833,0.5660881056288182,-0.055711085119208005
dopant,Au,160,0.281749738982869,0.5574422340030032,-0.02902377698520352
dopant,B,220,0.7042713404102596,1.185477947899893,-0.09104871937491511
dopant,Ba,143,0.34249999524262076,0.6715295765337961,0.12734314258839463
dopant,Be,215,0.5205277919636807,0.9142293774435775,-0.025446084341422474
dopant,Bi,36,0.9055581296061092,1.729427875324542,0.1168743847451467
dopant,Br,173,0.3081789042295905,0.5682074088345619,0.03538431643217885
