rank,host,dopant,defect_type,natoms,predicted_Ef_eV,calibrated_sigma_eV,adversarial_score,extreme,score
207,P4,La,interstitial,65,1.8186,1.3735,0.0741,N,0.2179
208,Ti2CO2,P,interstitial,81,3.1598,2.5452,0.1742,N,0.2152
209,Ti2CO2,S,interstitial,81,1.9788,3.0429,0.2167,N,0.2149
210,NbSe2,Sn,interstitial,28,0.2680,2.2259,0.1469,N,0.2133
211,Ti2CO2,Bi,interstitial,81,2.6434,4.4204,0.3344,N,0.2112
212,PbI2,Sn,interstitial,28,1.6100,3.4096,0.2480,N,0.2109
213,Ti2CO2,W,interstitial,81,2.6962,1.2998,0.0678,N,0.2096
214,NbS2,Sn,interstitial,28,0.5697,1.8316,0.1132,N,0.2085
215,PtSe2,La,interstitial,28,0.4017,2.8036,0.1963,N,0.2071
216,Ti2CO2,Pd,interstitial,81,1.4487,2.8818,0.2029,N,0.2066
217,Ti2CO2,Zn,interstitial,81,0.9907,2.3551,0.1580,N,0.2054
218,Ti2CO2,Si,interstitial,81,2.1946,3.1587,0.2266,N,0.2054
219,Ti2CO2,Ga,interstitial,81,0.5795,2.3518,0.1577,N,0.2052
220,BiITe,Cr,interstitial,28,5.7874,6.8559,0.5424,Y,0.2021
221,W2Se4,In,interstitial,97,2.6171,2.3681,0.1591,N,0.1993
222,Ti2CO2,Ti,interstitial,81,0.6468,2.7350,0.1904,N,0.1991
223,Ti2CO2,Al,interstitial,81,0.7239,2.7184,0.1890,N,0.1982
224,Bi2I6,Zr,interstitial,33,1.8771,2.8932,0.2039,N,0.1982
225,WS2,Pb,interstitial,49,2.5309,2.6236,0.1809,N,0.1982
226,Bi2I6,Ga,interstitial,33,2.3012,2.0840,0.1348,N,0.1979
227,PbI2,In,interstitial,28,1.4536,3.8500,0.2856,N,0.1967
228,Ti2CO2,Mn,interstitial,81,2.6929,2.6859,0.1862,N,0.1966
229,Ti2CO2,Ni,interstitial,81,1.9212,2.9843,0.2117,N,0.1965
230,Bi2I6,Sc,interstitial,33,1.8912,2.8594,0.2010,N,0.1965
231,Ti2CO2,Ag,interstitial,81,0.7022,2.1526,0.1407,N,0.1950
232,Ti2CO2,Ir,interstitial,81,1.7209,3.3124,0.2397,N,0.1950
233,WSe2,La,interstitial,49,7.7498,6.4590,0.5085,Y,0.1944
234,Ti2CO2,B,interstitial,81,2.0313,2.6021,0.1791,N,0.1923
235,Ti2CO2,Tl,interstitial,81,0.0698,2.0858,0.1350,N,0.1916
236,Nb2CO2,In,interstitial,81,4.9538,3.0768,0.2196,N,0.1911
237,Bi2I6,Ir,interstitial,33,2.6035,3.0975,0.2214,N,0.1904
238,TaS2,La,interstitial,28,-1.8942,1.9568,0.1239,N,0.1895
239,BiITe,Li,interstitial,28,6.6358,5.8037,0.4525,Y,0.1894
240,NbSe2,Bi,interstitial,28,1.0683,2.5409,0.1738,N,0.1889
241,Ti2CO2,N,interstitial,81,2.2190,2.0314,0.1303,N,0.1888
242,BiITe,Mg,interstitial,28,6.3059,5.7795,0.4504,Y,0.1881
243,PbI2,Pb,interstitial,28,2.4545,3.5858,0.2631,N,0.1843
244,Ti2CO2,V,interstitial,81,1.5545,2.4303,0.1644,N,0.1835
245,Nb2CO2,Ti,interstitial,81,4.1566,1.4632,0.0818,N,0.1788
246,Bi2I6,Al,interstitial,33,2.4257,2.1224,0.1381,N,0.1741
247,Bi2I6,Bi,interstitial,33,4.9530,3.5664,0.2614,N,0.1738
248,Ti2CO2,Cd,interstitial,81,0.4868,2.1981,0.1445,N,0.1716
249,Ti2CO2,Sn,interstitial,81,0.9986,2.8384,0.1992,N,0.1707
250,NbSe2,La,interstitial,28,-0.1036,2.3892,0.1609,N,0.1705
251,Ti2CO2,Cu,interstitial,81,1.5329,2.7895,0.1951,N,0.1682
252,PbI2,La,interstitial,28,1.8859,3.5315,0.2584,N,0.1659
253,PbI2,Bi,interstitial,28,2.2742,3.2641,0.2356,N,0.1628
254,MoTe2,In,interstitial,28,0.6152,1.9557,0.1238,N,0.1628
255,Bi2I6,As,interstitial,33,6.3152,6.1007,0.4779,Y,0.1626
256,Ti2CO2,Cr,interstitial,81,2.3080,2.3151,0.1545,N,0.1622
257,BiITe,Zr,interstitial,28,6.7142,6.0591,0.4743,Y,0.1613
258,Bi2I6,Nb,interstitial,33,2.3752,2.5183,0.1719,N,0.1607
259,Cr2I6,In,interstitial,33,1.0090,1.0848,0.0495,N,0.1593
260,Ti2CO2,Os,interstitial,81,2.0728,1.9533,0.1236,N,0.1590
261,Ti2CO2,H,interstitial,81,1.9382,1.8985,0.1190,N,0.1562
262,BiITe,Sc,interstitial,28,6.3096,5.9068,0.4613,Y,0.1535
263,Bi2I6,Si,interstitial,33,5.5021,5.9188,0.4623,Y,0.1532
264,MoTe2,Bi,interstitial,28,2.8042,1.6449,0.0973,N,0.1430
265,Ti2CO2,Mo,interstitial,81,2.5027,1.6350,0.0965,N,0.1427
266,PtSe2,In,interstitial,28,-0.0464,1.2522,0.0638,N,0.1421
267,Ti2CO2,C,interstitial,81,2.3989,1.8873,0.1180,N,0.1403
268,Nb2CO2,Na,interstitial,81,3.4387,1.5721,0.0911,N,0.1398
269,Ti2CO2,Nb,interstitial,81,0.9253,1.9947,0.1272,N,0.1275
270,Ti2CO2,In,interstitial,81,0.2386,2.6308,0.1815,N,0.1234
271,WS2,La,interstitial,49,1.0346,1.4084,0.0771,N,0.1202
272,Ti2CO2,Ta,interstitial,81,0.5200,0.6776,0.0147,N,0.1195
273,Ti2CO2,Pb,interstitial,81,1.5533,2.3824,0.1603,N,0.1118
274,Bi2I6,In,interstitial,33,1.7496,2.2698,0.1507,N,0.1113
275,WS2,In,interstitial,49,0.7630,0.9503,0.0380,N,0.1112
276,BiITe,Fe,interstitial,28,5.8928,5.2863,0.4083,Y,0.1034
277,Bi2I6,Sb,interstitial,33,8.4178,4.4970,0.3409,Y,0.0958
278,W2Te4,Pb,interstitial,55,5.7097,4.1978,0.3153,Y,0.0942
279,W2Se4,Pb,interstitial,97,6.1176,4.0347,0.3014,Y,0.0858
280,WS2,Bi,interstitial,49,2.1449,0.5057,0.0000,N,0.0846
281,W2Te4,Bi,interstitial,55,5.4359,3.9816,0.2969,Y,0.0781
282,Nb2CO2,Pb,interstitial,81,5.7744,4.1263,0.3092,Y,0.0460
283,Bi2I6,Pb,interstitial,33,3.8483,0.9315,0.0364,N,0.0438
284,WSe2,Bi,interstitial,49,9.4483,3.2046,0.2305,Y,0.0383
285,WSe2,Pb,interstitial,49,9.6688,2.8191,0.1976,Y,0.0235
286,Nb2CO2,Bi,interstitial,81,5.4511,3.5993,0.2642,Y,0.0140
287,Nb2CO2,La,interstitial,81,5.2199,2.5199,0.1720,Y,-0.0519
