host_dopant,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Ge,H,Hf,Hg,I,In,Ir,K,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Ni,O,Os,P,Pb,Pd,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Tc,Te,Ti,Tl,V,W,Xe,Y,Zn,Zr
PtSe2,3.2403,2.1328,2.9963,3.7670,3.9815,1.5102,2.0458,,2.2511,6.1940,1.0853,3.1305,1.7338,3.4847,3.8198,1.3296,2.5659,-0.1110,3.5253,2.6244,3.0202,1.9528,3.4108,1.0702,3.8253,,4.6241,0.8532,0.6688,1.8068,1.6271,2.7918,4.8350,5.2373,0.0285,4.5602,2.9029,1.9903,6.0893,3.3208,2.1465,1.9484,4.3787,0.9003,6.3704,4.3984,4.6950,2.7246,2.8051,2.1697,2.6220,3.1646,2.6418,0.9924,5.4412,5.0472,1.5311,2.9149,0.8709,3.3899,7.0375,3.1721,1.8843,1.6122,3.1173
Re4S8,2.1065,2.3915,2.7547,2.3753,4.1823,0.6605,3.2508,2.4528,0.7845,5.5585,0.8380,0.7178,1.5541,3.2392,3.2181,-1.1116,3.0467,-0.3168,3.6815,2.3657,3.3695,1.8939,5.0772,0.1524,0.9304,1.1649,4.8201,-0.7232,0.0275,2.7183,1.9612,2.8657,5.5647,4.0485,-0.0613,5.3690,2.6116,0.5842,6.3434,3.1721,2.0936,2.1370,3.1123,-0.8673,7.2914,3.4883,5.4816,1.3178,2.5383,2.2214,2.1160,3.3425,2.2843,0.5143,6.6286,5.2116,1.7392,2.6494,0.8409,3.3933,7.2840,0.0284,2.1976,1.5185,3.8063
Re4Se8,2.1167,3.1395,2.9096,2.3020,3.8317,0.7351,2.7627,5.1162,0.5765,5.5943,2.6786,0.7201,3.3155,3.4905,3.5924,-0.6587,2.7740,0.0217,3.8576,1.7013,2.7654,1.9001,4.5115,3.0776,2.6378,1.4153,5.3786,-0.2755,1.0346,3.1447,1.7432,3.2670,5.6362,4.3160,0.2703,5.5537,2.7660,0.5711,7.2964,3.3103,5.0475,2.5676,3.3424,-0.4182,7.6572,3.9420,5.4209,1.6278,2.6350,2.7418,5.4018,3.8069,2.3619,0.9157,7.9823,5.5526,1.7253,3.3361,1.1175,3.8305,7.4985,0.0507,2.9111,1.6058,4.1651
Si2,1.3556,1.3989,0.7817,1.1741,3.2414,0.6578,1.9920,,-1.0153,3.8764,0.4024,1.5506,-0.0388,1.3477,1.9146,1.2806,1.2015,-1.9685,1.5130,1.7105,1.1275,0.5516,1.5835,1.3620,1.1829,,0.7173,0.5950,-0.2611,1.1054,1.0429,1.3317,2.8308,2.8536,0.2981,1.5708,0.6320,-0.5066,2.9221,1.4407,0.3021,-0.1307,0.4835,0.9814,3.2923,-0.1926,1.5822,-0.4515,1.5894,0.6993,0.2774,1.7819,2.0700,0.6562,3.1335,2.7089,1.0778,1.5028,1.9007,1.8210,5.1834,2.6648,0.5142,1.2713,1.6991
Sn2,0.9432,1.0727,0.3364,0.3900,3.1566,-0.9906,1.8036,0.0772,-0.7790,3.4401,-0.4356,0.4954,-1.5695,2.7057,1.6058,-0.3120,0.5267,-2.8268,,0.0458,0.7304,0.7750,2.1605,-0.0571,-0.9272,,0.4182,-0.9681,-0.3236,0.0161,0.4500,0.9994,4.2583,3.4407,-0.2174,,1.2372,-0.6861,3.4603,0.6096,-2.1827,0.4085,0.2605,-0.3361,3.7747,0.7551,3.6563,-1.2731,0.3778,0.0208,-0.8085,1.2992,0.3851,-0.6092,6.2171,2.4341,-0.5693,0.8590,0.2614,3.0214,5.6798,-0.1390,-0.1321,0.5787,1.6640
SnS2,2.0778,0.2506,0.5133,2.3460,0.6856,0.0507,-0.0626,,1.9195,0.0349,-3.7950,-1.2434,1.6774,-2.1970,1.5248,2.7102,,-2.5973,4.1901,-0.0274,1.9867,0.4671,-1.1002,2.0016,1.0624,,,0.2697,0.3621,-0.4234,2.0993,1.1555,2.1529,1.4379,1.8410,,-0.5546,-0.4355,3.7167,0.3655,6.3505,1.5181,-1.0588,1.9003,1.3659,1.8868,0.5171,0.3413,0.5960,0.4609,1.6618,-1.7431,1.7948,-3.6445,3.9120,2.0294,0.9414,-1.9618,-0.4883,1.1647,1.2186,2.1411,-2.2817,1.5527,-1.2394
SnSe2,1.3480,1.2786,1.0438,1.8909,2.6605,-1.3925,1.0063,4.2719,0.4601,3.9502,-0.7335,1.0875,0.7791,1.5232,2.2700,-1.6306,0.5725,-1.0154,2.1811,0.9659,1.4441,1.1048,3.2052,0.1107,0.7768,-2.3664,,-1.2902,-0.6426,0.2226,0.3012,1.4544,3.8176,3.3027,0.8872,,1.7942,-0.2429,4.7864,1.2258,,1.2198,2.3621,-1.4052,4.2880,2.0055,4.3058,0.8538,1.3217,0.3243,1.0797,1.3254,1.0992,-0.9661,2.9534,3.7988,0.8807,0.9780,0.1399,1.6455,6.0791,2.1751,-0.2352,0.9989,1.7763
TaS2,2.3490,0.6494,2.5156,2.1263,3.5263,-2.4714,0.5450,1.5536,2.4475,5.3587,-0.0923,0.7521,1.3982,2.2625,1.9829,0.6572,1.3572,-0.5642,1.7865,2.0969,0.8038,0.6026,2.9682,0.1364,0.9223,2.5762,3.3715,-1.7501,-0.3238,0.9929,0.4976,1.5191,3.1750,2.5179,-1.7943,1.8208,1.5902,-0.1972,2.3379,1.5482,,2.1113,2.4028,-1.9807,4.4209,2.5032,3.9130,1.4772,1.4871,-0.8599,1.9176,1.2052,0.4493,-2.0585,3.1981,3.0950,1.6821,0.1983,-0.3945,2.2655,4.3872,0.1840,0.8367,1.3437,0.7437
TaSe2,2.3827,1.6720,2.6727,2.2202,2.5883,-1.4463,1.1130,,2.1971,4.2072,-0.6206,1.3938,1.7895,1.9102,2.2757,-1.6263,1.9852,0.2357,2.3008,0.7467,2.5049,1.1620,4.6494,0.1150,0.6775,-4.0806,5.3720,-1.2896,0.0183,1.0743,1.3690,1.8551,3.4159,5.3685,-0.3912,2.9714,1.4543,0.2294,5.5472,2.6815,,1.9990,2.6959,0.8070,5.2755,3.5774,4.1539,2.0899,2.4303,1.4946,1.9632,2.4199,2.7239,1.2397,4.4303,4.0038,1.9422,2.3570,0.1131,2.7783,5.8901,0.0262,0.7825,1.5876,4.1670
Ti2CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
