variant,repeat,seed,n_params,git_commit,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2,manifest_path
g000,42,142,763785,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.43220728787788554,1.1052554943674289,-0.03952517192409813,0.9602148321161291,0.8929091291637171,0.44697946626947915,0.9650887402457863,-0.03395089116275223,0.9601395423304602,0.909028821058268,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g000/split42_seed142/run_manifest.json
g000,43,143,763785,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.41061951785884,0.959264091756338,-0.05978465955775715,0.9636930686255883,0.906119947265966,0.4087577379350291,0.8147854300306012,-0.01776428279075007,0.962009980843008,0.9305801807969912,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g000/split43_seed143/run_manifest.json
g000,44,144,763785,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4097522908902065,0.8376157390182106,-0.0006892275174365719,0.9634026075987485,0.9229866558522861,0.4165203323590506,0.963223624003845,-0.009645252501754088,0.9649304716149406,0.9136705303481334,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g000/split44_seed144/run_manifest.json
g000,45,145,763785,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4245918751756912,0.9221106308641771,-0.04862239891255398,0.9617505388432578,0.9245234991378506,0.414483599505867,0.9379661141902865,-0.059138420012434495,0.973221190265766,0.914192859693923,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g000/split45_seed145/run_manifest.json
g000,46,146,763785,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.43132524243729103,1.0110902252661749,-0.06088569873867378,0.9652027959644893,0.8945882737141585,0.40796512392379586,0.9696130875516464,-0.078967666081385,0.959614448948643,0.9087921891668929,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g000/split46_seed146/run_manifest.json
g001,42,142,770316,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.41527199718933516,1.038922142988998,-0.04997993754532822,0.9678443972467448,0.9053777892956214,0.42133936000203137,0.9692257354061645,-0.04422795128273912,0.9692187585186024,0.9082472266919936,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g001/split42_seed142/run_manifest.json
g001,43,143,770316,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.40134456241723704,0.8883744979186895,-0.052146677058647596,0.9662022436017763,0.9194827162908962,0.3864288755317236,0.7640287209768506,-0.004087479541215678,0.9630892653593093,0.9389597450536624,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g001/split43_seed143/run_manifest.json
g001,44,144,770316,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.36489864262460514,0.7621616023964477,-0.021796332410503216,0.9693950665726321,0.9362367486248558,0.405932580162284,0.9605501980293729,-0.04416242721039922,0.9647549884039403,0.9141490799902898,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g001/split44_seed144/run_manifest.json
g001,45,145,770316,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.372088071390683,0.7598593416543081,-0.04647551169320522,0.9725760970821073,0.9487478470041539,0.3943985990027397,0.8746596303305488,-0.032166291513495725,0.9720573698285805,0.9253848021186462,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g001/split45_seed145/run_manifest.json
g001,46,146,770316,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.41626858278205014,0.954183862148583,-0.057246644113672106,0.9658989221594745,0.9061199664130135,0.40418232809060334,0.937158334433423,-0.06981065298065557,0.960724691859731,0.9147957931673847,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g001/split46_seed146/run_manifest.json
g010,42,142,772425,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4155567559411789,1.0228370213431086,-0.012933497351763766,0.968653231942972,0.908285086083235,0.4159284409578027,0.8988988730400108,-0.022497612093543437,0.9678224811120166,0.9210792874929197,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g010/split42_seed142/run_manifest.json
g010,43,143,772425,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.42234840627648335,1.020075567460998,-0.017965379066807254,0.9656315064575447,0.8938398213942738,0.4037783449334306,0.824843663171591,-0.0007188522502942009,0.956998946562717,0.9288556764904695,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g010/split43_seed143/run_manifest.json
g010,44,144,772425,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.3913317541575591,0.8099849122060876,0.00012883223492880907,0.963396256082371,0.9279838032452185,0.4064962629775971,1.0172535605686492,-0.028273440044890373,0.963256880071707,0.9037139747526969,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g010/split44_seed144/run_manifest.json
g010,45,145,772425,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.38047789003499083,0.7379206360125539,-0.04188182837762205,0.9742378561156821,0.9516646340441094,0.42741068231282375,0.9954387769318848,-0.04153282000962736,0.9689388578902831,0.9033552560895122,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g010/split45_seed145/run_manifest.json
g010,46,146,772425,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.41067591905338713,0.884973941027244,-0.07748663929744884,0.9687634560457727,0.9192448799271784,0.4059644750130972,0.9244257454720416,-0.09501914226724052,0.9604030025293973,0.9170952987577403,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g010/split46_seed146/run_manifest.json
g011,42,142,778956,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4071920448604337,1.0069817707039372,-0.05691355026150286,0.9666031535638547,0.9111064393329367,0.40652684829601127,0.9099447660582343,-0.013576621383625217,0.9670153211100653,0.9191277756766646,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g011/split42_seed142/run_manifest.json
g011,43,143,778956,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.41061904570851626,0.9401575359517158,-0.046119243555017016,0.9652310349187204,0.9098224955878729,0.44196580344379105,0.9032517670803617,-0.02780800744836999,0.9480295306770119,0.9146871187937149,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g011/split43_seed143/run_manifest.json
g011,44,144,778956,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.394943761525587,0.812749015740182,-0.03538882778755297,0.9626446862081393,0.9274914487058853,0.4201225782890248,1.0125393440769064,-0.022191931526809348,0.9612430039856298,0.9046043356422562,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g011/split44_seed144/run_manifest.json
g011,45,145,778956,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.39776652260743167,0.8627874522116893,-0.07198535193155617,0.9650226826982913,0.9339225399704777,0.39986909545488286,0.9373631292361241,-0.0552010555721579,0.9675896206298673,0.9143031489309187,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g011/split45_seed145/run_manifest.json
g011,46,146,778956,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.39524200885809974,0.8423345558747685,-0.03472983851525823,0.9743731715185799,0.9268392183238425,0.38368059902243457,0.8663862744278135,-0.047664675745978324,0.9674198426407883,0.9271787346308901,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g011/split46_seed146/run_manifest.json
g100,42,142,805387,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.42006371229332956,1.013982393542429,-0.03706609050573785,0.9684523441594892,0.9098661518000727,0.40514788222121384,0.8603303616928298,-0.033023636211856895,0.968274762860041,0.9277064044547562,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g100/split42_seed142/run_manifest.json
g100,43,143,805387,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4112989162510268,0.9065104427890297,-0.026291180620365485,0.9686248693309,0.9161616790161802,0.41661906983411595,0.8465945656469903,0.006815089316941244,0.9601613992710227,0.9250540925725617,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g100/split43_seed143/run_manifest.json
g100,44,144,805387,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.38611540729123595,0.7826566070243253,-0.0008682991164600214,0.9667651003690508,0.9327613732113812,0.42582816609162344,0.9770967862009653,-0.009355827728568605,0.9594598923571457,0.9111658417562079,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g100/split44_seed144/run_manifest.json
g100,45,145,805387,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.38329229715456564,0.7607155700718282,0.009896397255174268,0.972759425452171,0.948632277524422,0.41508793410729483,0.9064453694145019,-0.027644200497220398,0.9723177700558391,0.9198631255099019,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g100/split45_seed145/run_manifest.json
g100,46,146,805387,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4037283288037911,0.8569749860385221,-0.04649665563708124,0.9726324625743503,0.9242739344248908,0.4038664703052546,0.9679994320234058,-0.04147644415006173,0.9645980555706997,0.9090955174146728,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g100/split46_seed146/run_manifest.json
g101,42,142,811918,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.3932790356212516,0.9826294742056647,-0.05027108197328279,0.9705693663970645,0.9153539573992104,0.40262078040917626,0.9127761470481641,-0.02731796859773577,0.9721584161461053,0.9186237092015829,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g101/split42_seed142/run_manifest.json
g101,43,143,811918,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.3831236354560334,0.847972035870271,-0.02800303768262875,0.9690575593581106,0.9266398838494366,0.40256644064368896,0.8123874037811867,-0.00021531116246962273,0.9642270704328813,0.9309882037429682,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g101/split43_seed143/run_manifest.json
g101,44,144,811918,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.3457395208977815,0.7215984000860549,-0.005294510643409133,0.9726334405954563,0.9428432604534437,0.37541161700473225,0.9013702828271185,-0.023048250541320384,0.9709937438486722,0.9244018281419093,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g101/split44_seed144/run_manifest.json
g101,45,145,811918,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.3633399776140011,0.7396348617914384,-0.013117084050129136,0.9783284687369176,0.9514398023546623,0.38879124922104336,0.8796331308650295,-0.0029781995931110424,0.9751161645951816,0.9245338338408171,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g101/split45_seed145/run_manifest.json
g101,46,146,811918,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.38443108068308895,0.8767009527437556,-0.05962541859611548,0.9694359073850214,0.9207476663970813,0.3674068678696644,0.8239038764395746,-0.038570779011578446,0.9704453251882342,0.9341450860437223,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g101/split46_seed146/run_manifest.json
g110,42,142,814027,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4045131911328627,0.9875354026538568,-0.019450306218051865,0.9718270565728048,0.9145066307465246,0.4112868112678533,0.8785816448977822,-0.006224758430536133,0.9687729217658723,0.9246065569048828,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g110/split42_seed142/run_manifest.json
g110,43,143,814027,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.4133021416632685,0.9379613681574063,-0.02538135665961145,0.9655719820695458,0.9102433051036242,0.4118623235229929,0.798656946786029,0.015615255527179196,0.9632181876825671,0.9333012773761601,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g110/split43_seed143/run_manifest.json
g110,44,144,814027,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.40647922604002035,0.8039648026548544,-0.005967505404493523,0.964241592324931,0.929050327453252,0.4199103941209614,0.9788924907396621,-0.005058544806731849,0.9644974800180487,0.9108390236028365,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g110/split44_seed144/run_manifest.json
g110,45,145,814027,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.3903422839118308,0.7589577390924669,-0.025725793567419584,0.974681529207496,0.9488694001798051,0.3978932207588649,0.8696960000428018,-0.01298086719636606,0.9754578502239586,0.9262292708783424,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g110/split45_seed145/run_manifest.json
g110,46,146,814027,7a6593a7eaaf991fd9c18a15653c3d888b060c7e,0.40362702393193534,0.8602694942829741,-0.031010203426175272,0.9733507010396271,0.9236905808955209,0.3862426647395697,0.8447797041898676,-0.04674750650693041,0.9690081696984522,0.9307655833912273,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/factorial/g110/split46_seed146/run_manifest.json
