variant,enabled_components,validation_mae_mean,validation_mae_std,validation_mae_ci_low,validation_mae_ci_high,test_mae_mean,test_mae_std,test_mae_ci_low,test_mae_ci_high
g000,0,0.4216992428479829,0.010919434133044402,0.4130670985347568,0.43033138716120883,0.4189412519986444,0.016093883336102458,0.4095858646447034,0.4332432938205034
g001,1,0.39397437128078205,0.024131662670435722,0.3750635980895627,0.41288514447200153,0.4024563485578764,0.013166610537761064,0.3928046543085365,0.4128698518342236
g010,1,0.4040781450927199,0.01752522533828858,0.3896644360407421,0.4172972486977423,0.41191564123895025,0.009838705336778738,0.40519638057413054,0.42052133749981113
g011,2,0.4011526767120137,0.007263586777577665,0.39562761267496105,0.4068582381688164,0.410432984901229,0.0219701540668251,0.3942066941622423,0.42885986835093126
g100,1,0.4008997323587898,0.01590597491965466,0.3885087475390788,0.4132907171785008,0.4133099045119005,0.009036258833708991,0.4066233278320463,0.4199964811917547
g101,2,0.3739826500544313,0.019209493967118577,0.3569979241980869,0.38770877361294287,0.387359391029661,0.015867160002957997,0.3748856437939674,0.3998331382653547
g110,2,0.40365277333598354,0.008351785056669692,0.39622662034148964,0.40960932801092076,0.4054390828820485,0.013325870527493703,0.39369670770011345,0.41496644931115245
g111,3,0.37130699982263593,0.018037102092661024,0.35725813426175884,0.3853558653835131,0.3819841129156121,0.006067071736584771,0.3771649361085529,0.38679199505118034
