evidence_tier,evidence_label,sample_index,raw_row_id,host,host_family,dopant,impurity_series,defecttype,site,natoms,target_eV,target_decile,pair_absolute_error_eV,extension_factor,abs_conv2,nonpathological_eligible,high_error_interstitial_pool_rank,bottom_quartile_adsorbate_pool_rank,xf_gt_2_pathology_rank,top_1pct_abs_conv2_pathology_rank,provenance_missing
canonical,CANONICAL — REPAIRED G2 OOF,9875,16510,Si2,elemental_hydrogenated,F,main_group,interstitial,ads2,19,-1.1215836974999942,0,0.3137187930963077,0.8303780840827522,0.000422936,1,1652,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9876,16512,Sn2,elemental_hydrogenated,Mo,4d,adsorbate,ads0,19,4.996258719999997,8,0.07294271810790676,0.9711408361012536,0.00256779,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9877,16515,W2Te4,chalcogenide,Rh,4d,adsorbate,ads0,55,4.169893090000016,7,0.3489705879784992,0.9515879921230718,0.000203734,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9878,16516,W2Se4,chalcogenide,Lu,f_block_other,adsorbate,int4,97,0.8348631249999761,2,0.029611648407006363,1.2863403267496865,0.00033877,1,,840,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9879,16518,Sn2,elemental_hydrogenated,Si,main_group,adsorbate,ads0,19,2.2670196349999987,5,0.10918366356872689,1.0300721421442915,0.00102764,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9880,16519,Sn2,elemental_hydrogenated,Xe,main_group,interstitial,int1,19,0.4155009099999978,2,3.5608274629553245,1.561953437121581,0.0328229,1,60,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9881,16520,Si2,elemental_hydrogenated,As,main_group,adsorbate,ads1,19,-0.5004229849999922,1,0.26887771423401663,1.0982199091968703,0.032567,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9882,16521,Sn2,elemental_hydrogenated,Na,main_group,adsorbate,ads0,19,-0.1507587333333353,1,0.10124801594136754,0.987914677098366,0.00044991,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9883,16522,W2Te4,chalcogenide,Ir,5d,adsorbate,ads0,55,5.749017522500006,8,0.3686992667455993,0.941134842511914,6.4865e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9884,16523,ZrSe2,chalcogenide,Hg,5d,adsorbate,ads1,28,-0.1605584050000183,1,0.15606349952821655,1.219396482079092,0.0001089689999999,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9885,16524,W2Te4,chalcogenide,Cl,main_group,interstitial,int3,55,5.045487600000025,8,0.3534839576171622,1.17857819266994,0.00112183,1,1530,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9887,16527,W2Se4,chalcogenide,Fe,3d,adsorbate,ads1,97,3.655784819999935,7,0.02126977292657095,0.9261868525402182,0.00158771,1,,626,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9888,16528,W2Te4,chalcogenide,C,main_group,interstitial,int3,55,2.580425877499989,5,0.4178806353326525,1.0351621982896668,0.0002214,1,1349,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9889,16529,Si2,elemental_hydrogenated,Co,3d,adsorbate,ads0,19,2.9199861249999977,6,0.16441572093200918,0.943846778345364,0.00744491,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9890,16530,ZrSe2,chalcogenide,Ir,5d,adsorbate,ads0,28,5.797513852499983,8,0.43085252246949945,0.9325059175737788,0.00198509,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9891,16531,W2Te4,chalcogenide,V,3d,interstitial,int3,55,2.433402670000005,5,0.49596701803405274,1.0990913262533584,0.00130076,1,1138,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9892,16532,W2Te4,chalcogenide,Hg,5d,adsorbate,ads1,55,0.1718578450000043,1,0.04374336082580135,1.1769834994138484,0.00412266,1,,1193,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9893,16533,Si2,elemental_hydrogenated,Au,5d,adsorbate,ads0,19,0.5714467924999989,2,0.11628959952118034,0.9750514963148378,0.00193799,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9894,16534,Si2,elemental_hydrogenated,Sc,3d,adsorbate,ads1,19,0.3011479749999957,2,0.15640190986022517,0.9098183701079536,0.0244099,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9895,16535,ZrSe2,chalcogenide,W,5d,adsorbate,ads0,28,6.9784989349999815,9,0.00390958716062606,0.9362559778582088,0.00320528,1,,129,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9896,16538,W2Se4,chalcogenide,Ru,4d,adsorbate,ads1,97,4.951928014999933,8,0.15696227098137872,0.9072924485657466,0.00138121,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9897,16539,Si2,elemental_hydrogenated,Tc,4d,adsorbate,ads0,19,4.549067815000001,7,0.09563700372558515,0.9361792603982506,0.0147561,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9898,16540,W2Se4,chalcogenide,C,main_group,interstitial,ads2,97,3.9563141974999336,7,0.24762905506354294,0.9012718730312824,0.00207707,1,1894,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9899,16541,ZrSe2,chalcogenide,V,3d,adsorbate,ads2,28,0.3292559399999799,2,0.14253675790651427,0.7952898974512207,9.6494e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9900,16543,W2Te4,chalcogenide,Se,main_group,interstitial,int3,55,4.747967633333337,8,0.48959341916097365,1.2090784255469615,0.00217523,1,1152,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9901,16544,Sn2,elemental_hydrogenated,Br,main_group,adsorbate,ads2,19,-1.2012414537499976,0,0.19387169705138918,2.7684464432800904,0.000923454,0,,,276,,0
canonical,CANONICAL — REPAIRED G2 OOF,9902,16545,Si2,elemental_hydrogenated,Ru,4d,adsorbate,ads0,19,4.3080537450000085,7,0.17053676959717645,0.9173436278595216,0.0266792,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9904,16548,W2Se4,chalcogenide,Sc,3d,adsorbate,int4,97,0.6203472650000244,2,0.6855137383886962,1.24682799537191,0.00463419,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9905,16549,W2Se4,chalcogenide,Ag,4d,adsorbate,ads2,97,1.5817341974999422,4,0.021867735025692614,0.99462737264923,0.0010097,1,,638,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9906,16550,Si2,elemental_hydrogenated,Pt,5d,interstitial,int1,19,0.7435693474999994,2,0.24821749007782046,1.299132113740324,0.000907739,1,1892,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9907,16554,Sn2,elemental_hydrogenated,Rb,main_group,interstitial,int1,19,1.6051878549999985,4,0.5269227407031265,1.7574375998555951,0.00147882,1,1080,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9908,16555,W2Te4,chalcogenide,Zr,4d,adsorbate,ads0,55,5.1474833850000135,8,0.06593080719969358,0.9513219206937632,9.73763e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9909,16556,Si2,elemental_hydrogenated,Ta,5d,adsorbate,ads2,19,1.8264032600000009,4,0.10649430774902258,0.8597349597070325,0.000475573,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9910,16557,W2Se4,chalcogenide,Re,5d,adsorbate,ads0,97,7.754223549999956,9,0.018368447460893833,1.0000995248412297,7.94267e-05,1,,553,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9911,16558,Si2,elemental_hydrogenated,B,main_group,adsorbate,ads2,19,2.7104264375000007,6,0.39091597760009833,1.310991681997988,0.00986618,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9912,16559,ZrSe2,chalcogenide,Te,main_group,interstitial,int2,28,3.8103724600000017,7,1.2500377775354021,1.111313139288408,0.0479205999999999,1,367,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9913,16560,Sn2,elemental_hydrogenated,Tl,main_group,adsorbate,ads0,19,0.2740994249999993,2,0.5751353060424798,1.0240650208008997,0.000129958,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9914,16561,W2Te4,chalcogenide,F,main_group,interstitial,int2,55,5.399272692499998,8,0.17074085503661873,1.0485735845680175,0.0281185,1,2210,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9915,16562,Si2,elemental_hydrogenated,Mg,main_group,adsorbate,ads0,19,0.9020221650000028,3,0.06719787722869597,1.0854040569421315,0.000327087,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9916,16563,Si2,elemental_hydrogenated,Ge,main_group,adsorbate,ads1,19,0.1821904449999953,1,0.08303406530028826,1.2756902809737558,0.0247454,1,,,,,0
