model,family,regime,split_id,seed,manifest_path,manifest_sha256,prediction_path,git_commit,config_sha256,expected_config_path,controlled_output_dir,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
dart,dart,host_cv,host_cv5_f3,242,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f3/seed242/run_manifest.json,9832311a33294ac3baeeef6adea6738454b3349713699ba8ab9d19d06d45e54b,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f3/seed242/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,ea61d0d084a7215ce75144f226587666ec206a0a684fe4ed3ed892e86e0cab52,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/host_cv5_f3_seed242.yaml,selected/g111/transfer/host_cv5_f3/seed242,0.8909379913068942,1.7777989405651131,-0.3973591785797766,0.9150346410306022,0.7247961298536925,0.9064537880509389,1.4651052141255398,-0.2887258870417581,0.9140584591647931,0.819824542972142
dart,dart,host_cv,host_cv5_f3,243,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f3/seed243/run_manifest.json,8757419ed423612fec758772379dd9a92a64932ce769055dc2ec4a229faad9a2,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f3/seed243/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,bf1c695b2ad5b8c55299d50f77d83e837cefe4e431633001958757d7c5bd28ac,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/host_cv5_f3_seed243.yaml,selected/g111/transfer/host_cv5_f3/seed243,0.8144599348041663,1.7005817058463093,-0.3604825787934301,0.9197833578756882,0.7481834575906816,0.8410720907370833,1.3907362604353528,-0.13974788447314088,0.9253079224054525,0.837651769057214
dart,dart,host_cv,host_cv5_f3,244,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f3/seed244/run_manifest.json,2b57808bbcfbeae6b86a2cba8ce6c06aa42a6787a6a513767505527fd60feed2,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f3/seed244/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,a4c2972ba851076889987c7ead8fbd82a65862e68add9107f377ef554dfbf171,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/host_cv5_f3_seed244.yaml,selected/g111/transfer/host_cv5_f3/seed244,0.8280370429958622,1.6017690913696145,-0.20984844945381118,0.9117839712916078,0.7765969649503891,0.8769025274144471,1.4707729304248425,-0.33182712040450396,0.9156407958926843,0.8184278397544537
dart,dart,host_cv,host_cv5_f4,242,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f4/seed242/run_manifest.json,f13d03a588becac05f5b126b69104840d1220b0fb3922fe76f902dd0b9cdabb7,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f4/seed242/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,223d28451b9bb90539e66231fe4335d1bf7b680f74670efb348442cc5797da81,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/host_cv5_f4_seed242.yaml,selected/g111/transfer/host_cv5_f4/seed242,0.9132675610002069,1.6387851281029142,-0.08254663430815411,0.8577907006871861,0.6488341295013376,1.0221129430986575,1.908655274583445,-0.5527383685771082,0.8650772899772872,0.6827919175794941
dart,dart,host_cv,host_cv5_f4,243,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f4/seed243/run_manifest.json,ab5c5ae2cb10c41a0e47d722a9eb1458497db6273e70cfd22c6961fe68eb906f,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f4/seed243/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,af24e9e606ef7e1da6d58be641f1ef4d55c0f7fd081b8a7520c6250c091e18d0,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/host_cv5_f4_seed243.yaml,selected/g111/transfer/host_cv5_f4/seed243,0.7621914008024617,1.498112477934429,0.12779626560692542,0.8921876232639572,0.7065344578420766,0.8394308803955923,1.730945134244946,-0.39789697580861205,0.9105837351234262,0.7391109475371973
dart,dart,host_cv,host_cv5_f4,244,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f4/seed244/run_manifest.json,5b16929d4bc61a260f4f1f890303ccc888d969a837b3f96a287624db455b2293,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/host_cv5_f4/seed244/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,33b5bdcd5039d1cde12d70a6954d0a6f1c6e6685bba649994302994d394ffa9d,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/host_cv5_f4_seed244.yaml,selected/g111/transfer/host_cv5_f4/seed244,0.7634820232712914,1.4598362686728803,-0.006475311194813994,0.8899197548757892,0.7213387564783664,0.9135862335774246,1.790949341865556,-0.3698657029876866,0.892771028559182,0.7207096988222854
dart,dart,id_cv,id_cv5_f0,242,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f0/seed242/run_manifest.json,3d60b4add0efab60a136e08bf97b8e2c8e447620543586103de936fc828437bd,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f0/seed242/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,e1803b6771e79e4bffdc556597f44ee8bbb32f71e62aca9b5f5d960e30b98a6b,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/id_cv5_f0_seed242.yaml,selected/g111/transfer/id_cv5_f0/seed242,0.4041945635232947,0.88119653344951,-0.008170089240739245,0.9692471146398306,0.9210921078379729,0.39577864744812885,0.8599344899232366,-0.025897106830031606,0.9605536804052955,0.9243612758593098
dart,dart,id_cv,id_cv5_f1,242,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f1/seed242/run_manifest.json,eda8a17bbee3b9c47e04cddb2e003f06e29d3fb4597dc3c5cd2a533157fea4ba,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f1/seed242/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,e0cb4336cb60176fc7a6d9314c7bc284d54e7c81ce1eb2d551194a7a6a696b14,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/id_cv5_f1_seed242.yaml,selected/g111/transfer/id_cv5_f1/seed242,0.4096698820172134,0.8324243270670179,0.002446757057954359,0.9645289719847261,0.9310998939692828,0.40881842273506075,0.8589884732882825,0.0005688367467282527,0.9653553155812851,0.9250192889482706
dart,dart,id_cv,id_cv5_f2,242,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f2/seed242/run_manifest.json,a6db37700562f9f604b5743ee056e564ca90f0bd7a1df7f481df07a4ae3427b8,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f2/seed242/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,8540dbca1727b78a75da65dcba2c7ada7c15b3b3f9799fd1df2b6b3ad31eab8e,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/id_cv5_f2_seed242.yaml,selected/g111/transfer/id_cv5_f2/seed242,0.42543464717489365,0.8950866796888964,-0.02169989615104965,0.9679613938014464,0.9269415023125934,0.4086875590509285,0.8221511775761009,-0.007173301332842554,0.9678623025585481,0.9327900257227357
dart,dart,id_cv,id_cv5_f3,242,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f3/seed242/run_manifest.json,3520e9245dd2945dc5cc4375edb847637a5cd06d72ad6dc0c98b07a8ab86da01,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/selected/g111/transfer/id_cv5_f3/seed242/test_predictions.npz,6c401374baa9ac22b5fa4353d467366ac7cc222f,fb74fe1cace7b67c8d0990aaeab8fc93e4e3b74952b60d15082653483a928b81,/storage/ssd/metaiot_guest/yiminghua/prm_collectors/final-ac585d5-comparison/configs/prm/promoted/g111/transfer/id_cv5_f3_seed242.yaml,selected/g111/transfer/id_cv5_f3/seed242,0.4430353177491864,1.0676093210159807,-0.10444220808969579,0.9661423640970158,0.8925155621067038,0.441361325342108,0.9985631748859776,-0.05541244033578337,0.9679660746808776,0.9090732556735498
