model,regime,split_id,n_seeds,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
dart,chemistry_block,chemistry_block_g6x3d,3,0.3650560072997892,0.7835532387940197,-0.06557686362493997,0.949957182104614,0.9242367705192988,0.4289925385827888,0.7696643058214928,0.08479051981886772,0.9209391189715156,0.8957692245366626
dart,dopant_cv,dopant_cv5_f0,3,0.7502042479801402,1.2448018012586999,-0.05371201697474096,0.9220110209992365,0.84499110061215,0.7068788354198107,1.106977439319783,-0.06650925741487035,0.9267190442702312,0.8888055970102665
dart,dopant_cv,dopant_cv5_f1,3,0.8392208734505339,1.257995699927658,0.026149199524902866,0.8893940061275133,0.8481550628486797,0.8504415267136197,1.3323829488164483,0.007445094239818141,0.9059008868374434,0.8223400204663415
dart,dopant_cv,dopant_cv5_f2,3,0.9961458932124639,1.4906835772756457,0.3754367188995156,0.8200087208602599,0.7769843630514006,0.8536946514342102,1.2989713456479006,-0.12851331978901026,0.8888500538418468,0.8378187231025104
dart,dopant_cv,dopant_cv5_f3,3,0.7940781158988832,1.241891972662139,-0.13321420038817636,0.8993978938684944,0.8247154457575951,1.093166742146785,1.624935359404257,0.5052857250989563,0.7952274418866477,0.734723148342507
dart,dopant_cv,dopant_cv5_f4,3,0.7072368225088409,1.068738821185125,-0.07443554065357398,0.9141555329584338,0.89637919812936,0.9253029220028411,1.3678934155956755,-0.2972093735790697,0.8595824992945609,0.7872916610931155
dart,host_cv,host_cv5_f0,3,1.0012921905049958,1.6019264199748988,0.1442593745478519,0.840702442089282,0.6649874672873762,0.8654074721938513,1.5943541063626618,0.1599116573026743,0.8693792396460074,0.6671560454550157
dart,host_cv,host_cv5_f1,3,0.8893358965055319,1.4478505745841825,0.2619651626745909,0.8886780026305416,0.8187369220042046,1.2389210957153918,1.8638873403494847,0.45889340892445135,0.7850046709358464,0.5478172721852016
dart,host_cv,host_cv5_f2,3,0.9154479555492722,1.5339721929654366,-0.004664793969458744,0.9053527715571162,0.8024505699483261,1.1112649418940184,1.799396333043398,0.1562297534589677,0.8287635408530919,0.7175426672709332
dart,host_cv,host_cv5_f3,3,0.844478323035641,1.6933832459270122,-0.32256340227567265,0.915533990065966,0.7498588507982543,0.8748094687341564,1.4422048016619116,-0.253433630639801,0.9183357258209767,0.8253013839279366
dart,host_cv,host_cv5_f4,3,0.8129803283579866,1.5322446249034078,0.012924773367985773,0.8799660262756442,0.6922357812739269,0.9250433523572248,1.8101832502313158,-0.44016701579113565,0.8894773512199651,0.714204187979659
dart,id_cv,id_cv5_f0,1,0.4041945635232947,0.88119653344951,-0.008170089240739245,0.9692471146398306,0.9210921078379729,0.39577864744812885,0.8599344899232366,-0.025897106830031606,0.9605536804052955,0.9243612758593098
dart,id_cv,id_cv5_f1,1,0.4096698820172134,0.8324243270670179,0.002446757057954359,0.9645289719847261,0.9310998939692828,0.40881842273506075,0.8589884732882825,0.0005688367467282527,0.9653553155812851,0.9250192889482706
