model,regime,n_folds,validation_mae_mean,validation_mae_std,validation_mae_ci_low,validation_mae_ci_high,validation_mae_n,validation_mae_n_defined,validation_mae_interval_status,validation_rmse_mean,validation_rmse_std,validation_rmse_ci_low,validation_rmse_ci_high,validation_rmse_n,validation_rmse_n_defined,validation_rmse_interval_status,validation_bias_mean,validation_bias_std,validation_bias_ci_low,validation_bias_ci_high,validation_bias_n,validation_bias_n_defined,validation_bias_interval_status,validation_spearman_mean,validation_spearman_std,validation_spearman_ci_low,validation_spearman_ci_high,validation_spearman_n,validation_spearman_n_defined,validation_spearman_interval_status,validation_r2_mean,validation_r2_std,validation_r2_ci_low,validation_r2_ci_high,validation_r2_n,validation_r2_n_defined,validation_r2_interval_status,test_mae_mean,test_mae_std,test_mae_ci_low,test_mae_ci_high,test_mae_n,test_mae_n_defined,test_mae_interval_status,test_rmse_mean,test_rmse_std,test_rmse_ci_low,test_rmse_ci_high,test_rmse_n,test_rmse_n_defined,test_rmse_interval_status,test_bias_mean,test_bias_std,test_bias_ci_low,test_bias_ci_high,test_bias_n,test_bias_n_defined,test_bias_interval_status,test_spearman_mean,test_spearman_std,test_spearman_ci_low,test_spearman_ci_high,test_spearman_n,test_spearman_n_defined,test_spearman_interval_status,test_r2_mean,test_r2_std,test_r2_ci_low,test_r2_ci_high,test_r2_n,test_r2_n_defined,test_r2_interval_status
descriptor:mean,id_repeat,5,2.2884138988710694,0.10082327885047851,2.2142278127332147,2.3733226659107354,5,5,estimated,3.2043700547804854,0.15802582580255425,3.0846800346277625,3.325559083138745,5,5,estimated,-0.05691569166280552,0.18771527217275777,-0.1713690529316363,0.11537854396613192,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0031303844888862288,0.0029201344158172686,-0.005645234960464362,-0.0011375087313821642,5,5,estimated,2.296710177969592,0.04096250431965917,2.271881258128848,2.3329139000171746,5,5,estimated,3.198422307099846,0.06656707082761383,3.138833977132073,3.2486418236810053,5,5,estimated,-0.08063098614018553,0.07939412748999965,-0.14698270615594966,-0.022500155101864885,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.001132149805160898,0.0016062388585320181,-0.0025669985595514256,-0.00016422354900869074,5,5,estimated
descriptor:mean,pair_cv,5,2.2986139223167545,0.021472777270082004,2.2820183492748405,2.31473817763651,5,5,estimated,3.2015536214640514,0.0657462343056544,3.1516859445635044,3.2514212983645985,5,5,estimated,-6.868338966017906e-06,0.07495797839796178,-0.05849727885765858,0.05848354217972655,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.00043220159048007467,0.0002480447882682154,-0.0006168695419626502,-0.0002272956272159732,5,5,estimated,2.298504273742749,0.022367131258757052,2.282080784238656,2.316110228835657,5,5,estimated,3.201556486406967,0.0655706387249945,3.1519533678213465,3.251159604992588,5,5,estimated,-6.868338965990151e-06,0.07495712470552628,-0.05437782488141744,0.0553175501670359,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.000435837154341856,0.0004645926913312671,-0.0008105456722057091,-0.00011131654507625654,5,5,estimated
descriptor:validation_selected,chemistry_block,1,0.5478046892353602,0.0,,,1,1,not_estimable_single_fold,0.8502493596793793,0.0,,,1,1,not_estimable_single_fold,-0.00325015228224467,0.0,,,1,1,not_estimable_single_fold,0.9355274620017887,0.0,,,1,1,not_estimable_single_fold,0.9109250806865966,0.0,,,1,1,not_estimable_single_fold,0.6418160664372107,0.0,,,1,1,not_estimable_single_fold,1.0450747337433761,0.0,,,1,1,not_estimable_single_fold,0.2290442313653657,0.0,,,1,1,not_estimable_single_fold,0.8624004560451901,0.0,,,1,1,not_estimable_single_fold,0.8080076577864768,0.0,,,1,1,not_estimable_single_fold
descriptor:validation_selected,dopant_cv,5,1.2290391700658359,0.25659781308084806,1.0656215719527933,1.4526755188864013,5,5,estimated,1.740825188541897,0.28738736872705894,1.5607633923229032,2.0028424546815056,5,5,estimated,0.20431934728161272,0.5942343315420722,-0.1826429312239215,0.6849705612427943,5,5,estimated,0.7926472351251532,0.0693690110501562,0.734362310807457,0.8403716005429237,5,5,estimated,0.6891238136916888,0.1141781357869446,0.5906538357536268,0.7621555245591625,5,5,estimated,1.3337918263493096,0.17678267690666596,1.195578451131166,1.4720052015674532,5,5,estimated,1.8321618564989677,0.20433787223532485,1.6723609883298685,1.991962724668067,5,5,estimated,0.2403814490744242,0.5529535493610817,-0.1902941327066215,0.6710570308554699,5,5,estimated,0.7627251380800601,0.08288573208603811,0.6955790047246022,0.8255395787048403,5,5,estimated,0.6569729919322859,0.09858370373004764,0.5790367590083558,0.7319557542976886,5,5,estimated
descriptor:validation_selected,host_cv,5,1.1939421984850447,0.17759078246614884,1.0814558584845637,1.3516021929718236,5,5,estimated,1.98231489611818,0.21401875444277862,1.816733694262852,2.1386755843906373,5,5,estimated,0.09567389070854482,0.5700488809966623,-0.3536880543648344,0.545035835781924,5,5,estimated,0.8196037124497224,0.06550029771211409,0.7593868348417459,0.8576823421529983,5,5,estimated,0.5812760866165623,0.16199861306899208,0.4411476255820612,0.6976053372596921,5,5,estimated,1.2660396264843023,0.18655752700978062,1.1199981910666619,1.4120810619019426,5,5,estimated,2.059964641812147,0.16842592751952554,1.9191780482644893,2.1857723225179506,5,5,estimated,0.026919781805073296,0.4840848782266439,-0.330717117666473,0.41878148756389616,5,5,estimated,0.789460510045308,0.0720926739478884,0.7262831040945584,0.8406337639761083,5,5,estimated,0.5569915166784265,0.1260504563772851,0.45329634888128717,0.6555627249111217,5,5,estimated
descriptor:validation_selected,id_cv,5,0.6263364146941375,0.026285319228571545,0.6050772621515546,0.6462472043406899,5,5,estimated,1.1436813811830038,0.09950727387522462,1.068793919700728,1.22466739480955,5,5,estimated,-0.014187014151371857,0.03117771402415416,-0.03874682734466994,0.010372799041926227,5,5,estimated,0.9431252887554724,0.0030807412947256438,0.940426748573876,0.9449327940911584,5,5,estimated,0.8720412924961867,0.01795697300576655,0.856940396561205,0.8847242381729845,5,5,estimated,0.6251510607094752,0.019000132808063154,0.6104630784750411,0.6410167706471535,5,5,estimated,1.1347527270112212,0.08481141149939078,1.069615009121017,1.1998904449014254,5,5,estimated,-0.015900290013120162,0.027505548360121472,-0.03955863025525409,0.004751749953931051,5,5,estimated,0.9423783147095467,0.0024719358736249105,0.9405133743295122,0.9442836029793875,5,5,estimated,0.8741688686705477,0.01380619992556301,0.8641010276681881,0.885253322998588,5,5,estimated
descriptor:validation_selected,id_repeat,5,0.5780924113336037,0.023441606881274786,0.5569501686821964,0.5893115741574018,5,5,estimated,1.062677629913998,0.12352063427287854,0.9527780480072379,1.1491273461156863,5,5,estimated,-0.018588914639608677,0.05108791971462997,-0.05400795531145406,0.026147088369868503,5,5,estimated,0.9491587801583419,0.004344011564147729,0.9463467019281874,0.9530558165469831,5,5,estimated,0.8891565182439998,0.020074849503211586,0.8745208073544862,0.9062119723530072,5,5,estimated,0.5647135295937064,0.0173864204498247,0.551241232738038,0.5781493508820809,5,5,estimated,1.051231210995113,0.07801063002914586,0.9807720159224527,1.098414715832567,5,5,estimated,-0.023874526108067413,0.025423639164378772,-0.04369380111880751,-0.005225468432528928,5,5,estimated,0.9532294896263147,0.0015551933037977546,0.9521108783091632,0.9545420807305266,5,5,estimated,0.8917702305886186,0.011629818079198728,0.8850388603882215,0.9022781074742788,5,5,estimated
descriptor:validation_selected,pair_cv,5,0.6743579148705988,0.025396191996604974,0.6585732942791939,0.6972978432568198,5,5,estimated,1.1987934781511187,0.07634034522470945,1.1428800443102254,1.2578758636811338,5,5,estimated,-0.003816468957502503,0.05971565866544007,-0.03975584438520434,0.0500407714478176,5,5,estimated,0.9348974477169832,0.0033532835989171545,0.9328362751802224,0.937985294994075,5,5,estimated,0.8594480901338795,0.015703131866392394,0.8471763422502164,0.8717198380175424,5,5,estimated,0.6742364501681137,0.025378235232148452,0.6549279173451,0.6944976426088043,5,5,estimated,1.1956850218343409,0.06752864696624807,1.1441285933684844,1.2440896351444195,5,5,estimated,-0.021138487222895096,0.05978408749756298,-0.06499386314449021,0.02908622011971812,5,5,estimated,0.9359567396979965,0.004114564896657351,0.9334826346225578,0.9396357453210891,5,5,estimated,0.8602478597786408,0.013572839997153115,0.8498134038257081,0.8706309959311491,5,5,estimated
schnet,chemistry_block,1,0.6254062651390356,0.0,,,1,1,not_estimable_single_fold,1.2071050415941527,0.0,,,1,1,not_estimable_single_fold,0.041168829793774765,0.0,,,1,1,not_estimable_single_fold,0.9102366589096382,0.0,,,1,1,not_estimable_single_fold,0.8202990253800184,0.0,,,1,1,not_estimable_single_fold,0.5546639858315524,0.0,,,1,1,not_estimable_single_fold,0.8714453663629534,0.0,,,1,1,not_estimable_single_fold,0.19562202131367165,0.0,,,1,1,not_estimable_single_fold,0.8961376141123308,0.0,,,1,1,not_estimable_single_fold,0.8664741786290094,0.0,,,1,1,not_estimable_single_fold
schnet,dopant_cv,5,1.6461816458442324,0.11602515058047044,1.5623862743957342,1.7399789757916835,5,5,estimated,2.2723950782809528,0.20107180032277672,2.107176242477435,2.4194281723744386,5,5,estimated,0.0764673758838097,0.41715541411032414,-0.27031685841364494,0.37844071722421035,5,5,estimated,0.5313034379757285,0.037862182466167765,0.4989934413498679,0.55515239211909,5,5,estimated,0.47305391125291785,0.13379589668633646,0.3679164478944316,0.5729471927605881,5,5,estimated,1.7503310276894943,0.0848039829688475,1.687750501139448,1.8199103941430212,5,5,estimated,2.4231660105552932,0.28021639195019316,2.257261150735824,2.667658370755066,5,5,estimated,0.037777568996353275,0.7959580146968233,-0.6066470765056365,0.5793774358574744,5,5,estimated,0.5144933611036131,0.05872799189657411,0.47000515792807507,0.5593119190839071,5,5,estimated,0.3963450788065025,0.2048209693609306,0.20932514059267,0.5144730261425869,5,5,estimated
schnet,host_cv,5,4.2635345293964235,1.463225729237702,3.222951834606344,5.466768880786743,5,5,estimated,6.183358366612347,2.0641442177701474,4.6304432641148665,7.848550369892607,5,5,estimated,2.8415417160153336,0.9195622028967909,2.1579862529277234,3.6113068760630496,5,5,estimated,0.3626658843201865,0.14544160123569494,0.25701872502324374,0.48701274976363534,5,5,estimated,-3.358152682063045,2.2924637944508177,-5.1879748295300585,-1.6391329235326566,5,5,estimated,7.69930046676231,3.6324010061009444,5.183009971331272,10.84324668155729,5,5,estimated,13.427032436511842,7.627149485532154,8.440945070493841,20.150447454943084,5,5,estimated,3.6974300752988305,4.521998846967992,-0.18537258648855773,7.382161001597663,5,5,estimated,0.2610901687684417,0.06777217527777533,0.2113575249700297,0.31821325358244185,5,5,estimated,-32.175045423884214,39.06771685110556,-67.08727675644805,-7.471304274896073,5,5,estimated
schnet,id_cv,5,0.5785274696389081,0.01814698901307415,0.5668452371122152,0.594682852714827,5,5,estimated,1.2599489868448217,0.3728840933593759,1.0250213493378442,1.5931910895773127,5,5,estimated,-0.019101557275224314,0.03576120566609765,-0.04875810175636586,0.006421665282420682,5,5,estimated,0.9494393492838217,0.0031287997388104493,0.9468412521314677,0.9518975635559525,5,5,estimated,0.8317937274915492,0.11273180464518644,0.730523640598585,0.8997530829918314,5,5,estimated,0.5713127000426658,0.01805516404099364,0.5559083911444131,0.5833516305920846,5,5,estimated,1.2478980818968037,0.29957018316170403,1.0228714397935394,1.4958445245021168,5,5,estimated,-0.025761053444293393,0.03939826976498718,-0.056184458578235355,0.004553648460420017,5,5,estimated,0.9516423035429525,0.0036940742396039577,0.9487822197016108,0.9545023873842944,5,5,estimated,0.8386998018654579,0.08344626094333742,0.7689632688911845,0.9004332585870124,5,5,estimated
schnet,id_repeat,5,0.5138199355882485,0.016045419881551413,0.5014153783418531,0.5259015653090773,5,5,estimated,0.9742648494215155,0.0652518796488335,0.9210904710275838,1.022807797721102,5,5,estimated,-0.038528067196959614,0.024532022860588424,-0.054858790380975374,-0.017338097633051774,5,5,estimated,0.9534361093744836,0.007481236207912427,0.9481723660574943,0.9594432009493151,5,5,estimated,0.9063257420015427,0.015171966742450856,0.8958263717821575,0.9201261313349199,5,5,estimated,0.5662453744657664,0.03962040187093374,0.5371788020485617,0.5992581458955291,5,5,estimated,1.7607254751433548,0.8049701987202412,1.1258396206818122,2.395611329604897,5,5,estimated,0.017253487813787195,0.05196042637020313,-0.021079983335317916,0.06143217542147735,5,5,estimated,0.955294611831496,0.005469044925966276,0.9506691115653568,0.959234909340549,5,5,estimated,0.6485960477182946,0.2866527258465588,0.42646928476742724,0.870722810669162,5,5,estimated
schnet,pair_cv,5,0.6296961400525418,0.02062820849984319,0.6130096605652631,0.6450004856767387,5,5,estimated,1.2942221862280827,0.3451700387838026,1.0988117584659574,1.6030394931461764,5,5,estimated,-0.01696008795277506,0.023111992307865023,-0.03567904659444006,-6.191716782802808e-05,5,5,estimated,0.9426863202606409,0.0028914898660473078,0.9406483109628105,0.9450997814107103,5,5,estimated,0.829165894536391,0.09388451709969232,0.7437038139185435,0.8802852963999539,5,5,estimated,0.6276920233696321,0.029208943238856283,0.6061917970923099,0.6492824202832171,5,5,estimated,1.2991384598215565,0.32300957126765734,1.0742775747467426,1.5785805487174769,5,5,estimated,-0.01824837948150914,0.024674951036434575,-0.03863361513998647,0.002174775068117154,5,5,estimated,0.941741831543977,0.0021650679246810285,0.9399086651218898,0.9431859391981275,5,5,estimated,0.8286877094793885,0.08342692542268902,0.7561077486346753,0.8861564980294154,5,5,estimated
